Index	IDFemaleAgingColony	StrainNameCurrent	EarTagNumberCurrent	EarTagNumberOriginal	Sex	DietCode	Status	AgeIfStllAlive	DateOfBirth	DateDietStart
1	FAC2154	DBA/2J-Gpmb	2591	2591	F	CD	Alive	902	05.27.2016	07.01.2016
2	FAC2162	BXD77	2598	2598	F	CD	Alive	862	07.06.2016	08.11.2016
3	FAC2171	BXD86	2607	2607	F	CD	Alive	878	06.20.2016	08.11.2016
4	FAC2179	BXD157	2614	2614	F	CD	Alive	825	08.12.2016	09.13.2016
5	FAC2187	BXD168	2621	2621	F	CD	Alive	847	07.21.2016	09.13.2016
6	FAC2201	BXD186	2635	2635	F	CD	Alive	833	08.04.2016	09.13.2016
7	FAC2204	BXD86	2639	2639	F	CD	Alive	836	08.01.2016	09.13.2016
8	FAC2223	BXD157	2656	2656	F	CD	Alive	759	10.17.2016	12.13.2016
9	FAC2225	BXD84	2658	2658	F	CD	Alive	741	11.04.2016	12.13.2016
10	FAC2226	BXD84	2659	2659	F	CD	Alive	741	11.04.2016	12.13.2016
11	FAC2236	BXD168	2667	2667	F	CD	Alive	711	12.04.2016	02.24.2017
12	FAC2248	BXD16	2679	2679	F	CD	Alive	668	01.16.2017	02.24.2017
13	FAC2258	BXD191	2687	2687	F	CD	Alive	428	09.13.2017	11.20.2017
14	FAC2259	BXD191	2688	2688	F	CD	Alive	428	09.13.2017	11.20.2017
15	FAC2260	BXD191	2689	2689	F	CD	Alive	428	09.13.2017	11.20.2017
16	FAC2261	BXD190	2690	2690	F	CD	Alive	424	09.17.2017	11.20.2017
17	FAC2262	BXD190	2691	2691	F	CD	Alive	424	09.17.2017	11.20.2017
18	FAC2263	BXD190	2692	2692	F	CD	Alive	424	09.17.2017	11.20.2017
19	FAC2280	BXD195	2710	2710	F	CD	Alive	392	10.19.2017	12.07.2017
20	FAC2281	BXD195	2711	2711	F	CD	Alive	392	10.19.2017	12.07.2017
21	FAC2282	BXD195	2712	2712	F	CD	Alive	392	10.19.2017	12.07.2017
22	FAC2283	BXD195	2713	2713	F	CD	Alive	392	10.19.2017	12.07.2017
23	FAC2287	BXD190	2717	2717	F	CD	Alive	379	11.01.2017	01.08.2018
24	FAC2288	BXD190	2718	2718	F	CD	Alive	379	11.01.2017	01.08.2018
25	FAC2289	BXD190	2719	2719	F	CD	Alive	379	11.01.2017	01.08.2018
26	FAC2292	BXD195	2722	2722	F	CD	Alive	379	11.01.2017	01.08.2018
27	FAC2293	BXD195	2723	2723	F	CD	Alive	379	11.01.2017	01.08.2018
28	FAC2296	BXD199	2726	2726	F	CD	Alive	381	10.30.2017	01.08.2018
29	FAC2297	BXD199	2727	2727	F	CD	Alive	381	10.30.2017	01.08.2018
30	FAC2298	BXD199	2728	2728	F	CD	Alive	381	10.30.2017	01.08.2018
31	FAC2299	BXD197	2729	2729	F	CD	Alive	380	10.31.2017	01.08.2018
32	FAC2300	BXD197	2730	2730	F	CD	Alive	380	10.31.2017	01.08.2018
33	FAC2301	BXD197	2731	2731	F	CD	Alive	380	10.31.2017	01.08.2018
34	FAC2302	BXD197	2732	2732	F	CD	Alive	380	10.31.2017	01.08.2018
35	FAC2303	BXD197	2733	2733	F	CD	Alive	380	10.31.2017	01.08.2018
36	FAC2307	BXD199	2737	2737	F	CD	Alive	338	12.12.2017	02.23.2018
37	FAC2308	BXD199	2738	2738	F	CD	Alive	338	12.12.2017	02.23.2018
38	FAC2315	BXD194	2745	2745	F	CD	Alive	368	11.12.2017	02.23.2018
39	FAC2316	BXD194	2746	2746	F	CD	Alive	368	11.12.2017	02.23.2018
40	FAC2320	BXD187	2750	2750	F	CD	Alive	317	01.02.2018	02.23.2018
41	FAC2321	BXD187	2751	2751	F	CD	Alive	317	01.02.2018	02.23.2018
42	FAC2322	BXD187	2752	2752	F	CD	Alive	317	01.02.2018	02.23.2018
43	FAC2323	BXD187	2753	2753	F	CD	Alive	317	01.02.2018	02.23.2018
44	FAC2324	BXD187	2754	2754	F	CD	Alive	317	01.02.2018	02.23.2018
45	FAC2325	BXD194	2755	2755	F	CD	Alive	325	12.25.2017	02.23.2018
46	FAC2326	BXD194	2756	2756	F	CD	Alive	325	12.25.2017	02.23.2018
47	FAC2327	BXD194	2758	2758	F	CD	Alive	325	12.25.2017	02.23.2018
48	FAC2328	BXD194	2759	2759	F	CD	Alive	325	12.25.2017	02.23.2018
49	FAC2329	BXD194	2761	2761	F	CD	Alive	325	12.25.2017	02.23.2018
50	FAC2330	BXD172	2762	2762	F	CD	Alive	312	01.07.2018	02.23.2018
51	FAC2332	BXD172	2764	2764	F	CD	Alive	312	01.07.2018	02.23.2018
52	FAC2335	BXD172	2767	2767	F	CD	Alive	312	01.07.2018	02.23.2018
