Index	IDFemaleAgingColony	StrainNameCurrent	EarTagNumberCurrent	EarTagNumberOriginal	Sex	DietCode	CauseOfDeath	AgeAtDeath	DateOfBirth	DateOfDeath	DateDietStart
1	FAC073	BXD29	84	84	F	CD	Euthanized	599	04.18.2011	12.07.2012	02.13.2012
2	FAC109	BXD85	122	122	F	CD	Euthanized	631	05.25.2011	02.14.2013	02.13.2012
3	FAC125	BXD48	140	140	F	CD	Euthanized	643	08.26.2011	05.30.2013	02.13.2012
4	FAC138	BXD102	153	153	F	CD	Euthanized	514	10.17.2011	03.14.2013	02.10.2012
5	FAC195	BXD48a	213	213	F	CD	Euthanized	628	09.17.2011	06.06.2013	02.13.2012
6	FAC259	BXD39	278	278	F	CD	Euthanized	630	09.29.2011	06.20.2013	02.13.2012
7	FAC285	BXD48a	307	307	F	CD	Euthanized	632	11.13.2011	08.06.2013	02.13.2012
8	FAC305	BXD77	327	327	F	CD	Euthanized	480	10.24.2011	02.15.2013	02.13.2012
9	FAC320	BXD100	342	342	F	CD	Euthanized	584	10.24.2011	05.30.2013	02.10.2012
10	FAC348	BXD9	371	371	F	CD	Euthanized	440	09.24.2011	12.07.2012	02.13.2012
11	FAC350	BXD9	373	373	F	CD	Euthanized	625	09.24.2011	06.10.2013	02.13.2012
12	FAC352	BXD9	375	375	F	CD	Euthanized	448	09.24.2011	12.15.2012	02.13.2012
13	FAC384	BXD61	415	415	F	CD	Euthanized	608	10.28.2011	06.27.2013	07.20.2012
14	FAC396	BXD89	430	430	F	CD	Euthanized	477	11.05.2011	02.24.2013	02.13.2012
15	FAC530	BXD69	580	580	F	CD	Euthanized	274	12.23.2011	09.22.2012	07.20.2012
16	FAC543	BXD69	593	593	F	CD	Euthanized	566	12.09.2011	06.27.2013	07.20.2012
17	FAC689	BXD29	744	744	F	CD	Euthanized	614	11.25.2011	07.31.2013	07.20.2012
18	FAC695	BXD32	752	752	F	CD	Euthanized	426	01.14.2012	03.15.2013	07.20.2012
19	FAC734	BXD101	796	796	F	CD	Euthanized	532	03.27.2012	09.10.2013	07.20.2012
20	FAC767	BXD65b	830	830	F	CD	Euthanized	583	02.27.2012	10.02.2013	07.20.2012
21	FAC824	BXD91	887	887	F	CD	Euthanized	1050	01.31.2012	12.16.2014	07.20.2012
22	FAC825	BXD91	888	888	F	CD	Euthanized	1072	01.31.2012	01.07.2015	07.20.2012
23	FAC845	BXD9	1002	1002	F	CD	Euthanized	435	01.02.2013	03.13.2014	08.08.2013
24	FAC1150	BXD68	1346	1346	F	CD	Euthanized	392	05.08.2013	06.04.2014	11.15.2013
25	FAC1356	BXD85	1591	1591	F	CD	Euthanized	444	09.15.2013	12.03.2014	06.12.2014
26	FAC1373	BXD79	1685	1685	F	CD	Euthanized	259	04.30.2014	01.14.2015	07.25.2014
27	FAC1423	BXD79	1934	1734	F	CD	Euthanized	288	05.27.2014	03.11.2015	07.25.2014
28	FAC1452	DBA/2J	1821	1821	F	CD	Euthanized	659	07.30.2014	05.19.2016	10.22.2014
29	FAC1483	BXD69	1852	1852	F	CD	Euthanized	308	07.09.2014	05.13.2015	10.22.2014
30	FAC1500	BXD87	1869	1869	F	CD	Euthanized	1002	07.22.2014	04.19.2017	10.22.2014
31	FAC1502	BXD63	1871	1871	F	CD	Euthanized	637	08.08.2014	05.06.2016	10.22.2014
32	FAC1554	C57BL/6J	2013	2013	F	CD	Euthanized	925	09.19.2014	04.01.2017	02.06.2015
33	FAC1569	BXD32	2028	2028	F	CD	Euthanized	963	09.11.2014	05.01.2017	02.06.2015
34	FAC1649	BXD66	2109	2109	F	CD	Euthanized	278	08.08.2014	05.13.2015	02.06.2015
35	FAC1650	BXD66	2110	2110	F	CD	Euthanized	215	08.08.2014	03.11.2015	02.06.2015
36	FAC1659	BXD101	2119	2119	F	CD	Euthanized	957	10.01.2014	05.15.2017	02.06.2015
37	FAC1678	BXD70	2136	2136	F	CD	Euthanized	901	01.03.2015	06.22.2017	03.13.2015
38	FAC1679	BXD70	2137	2137	F	CD	Euthanized	901	01.03.2015	06.22.2017	03.13.2015
39	FAC1730	DBA/2J	2184	2184	F	CD	Euthanized	338	11.16.2014	10.20.2015	03.13.2015
40	FAC1773	BXD170	2215	2215	F	CD	Euthanized	774	06.22.2015	08.04.2017	08.05.2015
41	FAC1781	BXD187	2223	2223	F	CD	Euthanized	885	06.08.2015	11.09.2017	08.05.2015
42	FAC1815	BXD161	2257	2257	F	CD	Euthanized	981	06.24.2015	03.01.2018	08.05.2015
43	FAC1821	BXD169	2263	2263	F	CD	Euthanized	695	06.20.2015	05.15.2017	08.05.2015
44	FAC1826	BXD79	2268	2268	F	CD	Euthanized	241	03.28.2015	11.24.2015	08.05.2015
45	FAC1831	BXD99	2273	2273	F	CD	Euthanized	616	02.11.2014	10.20.2015	08.05.2015
46	FAC1832	C57BL/6J	2274	2274	F	CD	Euthanized	896	10.20.2014	04.03.2017	08.05.2015
47	FAC1835	C57BL/6J	2276	2276	F	CD	Euthanized	1109	04.06.2014	04.19.2017	08.05.2015
48	FAC1853	BXD16	2294	2294	F	CD	Euthanized	892	05.26.2015	11.03.2017	08.05.2015
49	FAC1864	BXD175	2305	2305	F	CD	Euthanized	1040	07.10.2015	05.15.2018	09.09.2015
50	FAC1868	BXD161	2309	2309	F	CD	Euthanized	957	07.09.2015	02.20.2018	09.09.2015
51	FAC1878	BXD168	2319	2319	F	CD	Euthanized	823	07.23.2015	10.23.2017	09.09.2015
52	FAC1897	BXD168	2336	2336	F	CD	Euthanized	703	07.20.2015	06.22.2017	11.03.2015
53	FAC1898	BXD168	2337	2337	F	CD	Euthanized	703	07.20.2015	06.22.2017	11.03.2015
54	FAC1904	BXD186	2343	2343	F	CD	Euthanized	497	07.15.2015	11.23.2016	11.03.2015
55	FAC1909	BXD29	2348	2348	F	CD	Euthanized	860	06.16.2015	10.23.2017	11.03.2015
56	FAC1925	BXD172	2365	2365	F	CD	Euthanized	285	07.31.2015	05.11.2016	11.03.2015
57	FAC1937	BXD86	2376	2376	F	CD	Euthanized	1033	07.03.2015	05.01.2018	11.03.2015
58	FAC1957	BXD87	2395	2395	F	CD	Euthanized	797	06.12.2015	08.17.2017	11.03.2015
