Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide,Insulin,Leptin,GIP (total),IL-6,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR,BodyWeight,MeanLifespan,Plate
1228,B6D2F1,CD,F,726,99.66,258.209,3075.388,192.449,NA,NA,NA,NA,NA,4160.814,16.807,2.417,43.79,921,2
1568,B6D2F1,CD,F,552,148.665,1757.438,4451.015,320.914,NA,NA,14.844,24.037,52.365,3710.039,NA,14.045,28.41,921,2
1569,B6D2F1,CD,F,552,401.241,916.312,6866.49,163.239,62.973,95.957,49.623,24.037,128.879,10470.052,5.466,9.698,27,921,2
1227,B6D2F1,CD,F,640,1142.281,1469.663,234.456,66.438,8943.593,816.132,6.537,29.039,14.029,18504.092,146.808,5.926,45.94,921,2
1222,B6D2F1,CD,F,364,973.383,1224.509,6852.473,99.075,157.219,64.585,8.508,NA,29.788,9803.354,0.088,8.728,33.03,921,4
1232,B6D2F1,CD,F,364,1523.284,1889.892,9323.735,127.731,NA,155.868,5.922,NA,29.788,13048.181,NA,13.335,46.4,921,4
1223,B6D2F1,CD,F,216,350.463,522.129,5566.785,51.9,2.226,69.963,6.868,NA,NA,7171.872,0.881,4.624,31.39,921,5
1224,B6D2F1,CD,F,216,1133.28,790.191,8969.223,28.229,NA,131.031,2.878,NA,NA,11468.295,1.351,7.112,32.5,921,5
1190,BXD100,CD,F,567,81.265,1385.324,8569.397,192.641,NA,NA,NA,75.397,89.991,3747.542,98.407,9.176,29.4,743,2
1313,BXD100,CD,F,628,613.662,1227.314,770.452,173.544,76.363,127.893,44.159,53.854,109.889,36555.201,20.343,7.865,28.35,743,2
1241,BXD100,CD,F,628,83.31,1455.807,48.978,330.097,80.731,NA,27.044,59.841,333.705,3126.756,165.937,6.184,29.22,743,2
1799,BXD100,CD,F,463,113.96,1337.138,339.194,16.204,NA,77.15,NA,NA,NA,6332.257,2.811,9.05,23.46,743,2
258,BXD100,CD,F,743,691.353,1898.263,502.764,31.614,896.271,10.829,8.508,34.71,158.729,16066.726,5.656,9.567,24.6,743,5
1213,BXD100,CD,F,374,NA,1017.479,6296.31,65.777,NA,NA,20.367,NA,58.465,11367.66,1.578,10.842,35.23,743,5
1297,BXD100,CD,F,374,228.721,268.818,2574.407,NA,NA,NA,3.833,NA,NA,3197.847,3.506,2.942,34.3,743,6
480,BXD100,CD,F,743,1082.248,2476.923,1062.824,191.288,60.053,NA,36.908,NA,119.564,16124.382,8.822,16.407,25.26,743,6
1296,BXD100,CD,F,537,352.791,1157.241,1464.506,67.363,NA,NA,40.815,NA,239.258,8805.405,8.157,10.082,31.39,743,6
2086,BXD100,CD,F,176,182.754,829.717,519.831,28.979,NA,NA,13.071,NA,57.435,12383.19,7.29,5.616,22.81,743,6
1184,BXD100,CD,F,537,1679.54,2960.647,14081.743,223.432,130.785,90.562,22.763,179.895,334.088,28758.663,38.691,27.498,36.5,743,1
1184,BXD100,CD,F,537,1679.54,2960.647,14081.743,223.432,130.785,90.562,22.763,179.895,334.088,28758.663,38.691,27.498,36.5,743,1
1426,BXD101,CD,F,513,124.17,2478.829,367.026,463.037,NA,601.9,NA,NA,NA,4472.585,29.31,19.632,25.56,713,2
1425,BXD101,CD,F,349,1040.894,1267.898,7897.573,96.567,146.43,95.957,23.005,22.269,61.954,22291.727,6.98,10.316,37.09,713,3
1424,BXD101,CD,F,349,2630.207,3427.871,6844.669,358.344,12.421,243.806,76.022,46.912,123.785,16423.834,15.909,43.191,35.51,713,3
800,BXD101,CD,F,738,358.515,841.437,1408.321,193.787,199.881,185.862,15.616,52.622,75.608,20033.183,35.713,4.241,22.94,713,3
1499,BXD102,CD,F,501,226.154,450.857,2520.465,320.914,NA,104.517,36.123,39.491,334.766,7374.76,40.574,2.402,26.74,856,2
231,BXD102,CD,F,354,152.746,329.77,4950.191,80.231,12.421,120.426,22.289,17.545,86.741,20929.132,NA,3.372,25.6,856,3
229,BXD102,CD,F,354,370.724,981.897,9816.075,147.206,71.949,54.771,81.86,48.848,168.947,28288.894,2.249,11.17,28.6,856,3
448,BXD102,CD,F,714,232.027,326.963,3900.639,5.781,6.512,99.776,1.854,14.657,24.504,4009.929,0.376,1.554,28,856,5
450,BXD102,CD,F,714,508.258,1056.098,4355.785,169.513,14.698,59.046,10.999,10.582,76.558,16578.251,3.079,7.224,24.95,856,5
1695,BXD102,CD,F,363,736.9,1839.179,2119.486,53.583,NA,NA,NA,NA,31.524,7444.726,2.471,6.091,36.65,856,6
1697,BXD102,CD,F,353,431.55,1289.67,1407.173,63.389,NA,NA,18.231,NA,79.747,15255.376,5.609,5.107,24.35,856,6
1363,BXD102,CD,F,183,766.714,601.591,1154.739,141.013,88.531,96.864,116.925,64.036,95.545,42524.127,24.647,4.418,20.23,856,1
1364,BXD102,CD,F,183,425.389,696.738,1154.739,99.842,46.21,77.223,154.376,94.659,170.485,51502.088,19.941,7.374,20.34,856,1
1363,BXD102,CD,F,183,766.714,601.591,1154.739,141.013,88.531,96.864,116.925,64.036,95.545,42524.127,24.647,4.418,20.23,856,1
1364,BXD102,CD,F,183,425.389,696.738,1154.739,99.842,46.21,77.223,154.376,94.659,170.485,51502.088,19.941,7.374,20.34,856,1
96,BXD11,CD,F,741,381.291,1178.158,849.286,1550.397,381.207,NA,38.589,56.204,266.226,18260.745,77.994,9.501,25.25,687,4
95,BXD11,CD,F,741,361.216,3431.311,2916.552,679.581,119.549,99.776,41.431,51.652,322.79,26068.556,15.45,29.894,23.2,687,4
1576,BXD13,CD,F,362,106.109,207.973,142.439,52.982,2452.818,201.757,19.949,145.265,178.957,19378.586,103.451,0.644,25.49,336,1
1333,BXD13,CD,F,362,325.2,985.094,300.277,67.086,179.021,54.568,95.864,183.305,2847.116,29268.947,117.542,9.788,19.1,336,1
1576,BXD13,CD,F,362,106.109,207.973,142.439,52.982,2452.818,201.757,19.949,145.265,178.957,19378.586,103.451,0.644,25.49,336,1
1333,BXD13,CD,F,362,325.2,985.094,300.277,67.086,179.021,54.568,95.864,183.305,2847.116,29268.947,117.542,9.788,19.1,336,1
1034,BXD24,CD,F,377,565.123,2186.395,1335.247,52.575,117.107,454.39,NA,NA,32.195,7963.821,8.728,NA,NA,696,6
1541,BXD24,CD,F,677,517.749,937.03,3096.515,196.834,35.702,NA,33.473,70.663,76.838,13811.67,6.998,NA,NA,696,7
1791,BXD24,CD,F,205,393.544,1304.538,497.811,40.049,88.531,84.028,5.978,90.916,55.325,34131.145,35.91,8.735,22.68,696,1
1792,BXD24,CD,F,205,576.571,1848.852,1170.481,1041.031,94.571,84.028,109.74,43.844,116.32,60492.691,19.746,14.11,21.53,696,1
1791,BXD24,CD,F,205,393.544,1304.538,497.811,40.049,88.531,84.028,5.978,90.916,55.325,34131.145,35.91,8.735,22.68,696,1
1792,BXD24,CD,F,205,576.571,1848.852,1170.481,1041.031,94.571,84.028,109.74,43.844,116.32,60492.691,19.746,14.11,21.53,696,1
778,BXD27,CD,F,226,567.949,721.009,1571.023,285.322,NA,23.346,19.378,40.883,105.094,18988.699,NA,6.178,23.9,758,3
777,BXD27,CD,F,226,1249.72,1524.333,3501.967,264.433,53.761,41.056,38.566,36.641,149.609,16069.701,NA,13.06,24.92,758,3
1044,BXD29,CD,F,724,834.977,1694.6,59.665,7879.656,169.677,86.879,83.978,112.076,659.879,36160.436,124.215,11.957,21.33,819,2
1045,BXD29,CD,F,724,302.539,2169.257,314.126,380.434,677.816,95.957,87.63,77.503,109.889,8035.853,107.211,17.961,24.23,819,2
1041,BXD29,CD,F,574,289.304,1056.219,17981.596,157.323,53.761,161.756,16.381,68.919,124.557,10035.325,13.637,7.148,29.02,819,2
1288,BXD29,CD,F,630,3628.573,4408.099,3416.606,111.603,12.421,155.367,4.17,78.546,80.633,13195.316,9.421,28.564,28.62,819,2
1040,BXD29,CD,F,574,79.221,952.417,4733.366,138.802,NA,557.148,35.302,96.428,83.051,2040.461,4.429,5.76,29.58,819,2
1800,BXD29,CD,F,478,109.875,283.242,717.465,73.558,23.884,405.953,15.231,40.883,51.304,13781.492,6.98,1.815,23.15,819,2
1521,BXD29,CD,F,431,323.916,828.575,7745.902,40.818,12.421,243.806,7.877,51.377,35.799,10187.869,5.466,6.92,29.48,819,3
770,BXD29,CD,F,225,277.085,487.036,461.387,344.591,NA,41.056,43.368,26.59,44.351,5453.74,NA,3.892,23.7,819,3
771,BXD29,CD,F,225,244.493,587.231,1100.45,640.624,34.353,NA,50.857,67.813,115.628,24306.439,3.899,6.088,24.7,819,3
773,BXD29,CD,F,385,47.48,500.809,459.059,148.49,79.41,128.89,48.204,22.353,87.257,12680.102,3.893,4.796,24.45,819,4
772,BXD29,CD,F,385,273.675,5698.823,882.535,365.571,26.562,151.828,24.133,35.789,63.766,10744.4,25.264,41.032,25.87,819,4
742,BXD29,CD,F,572,97.138,845.141,95.851,77.391,NA,265.347,24.736,50.122,51.125,10606.844,20.951,4.564,22.37,819,6
743,BXD29,CD,F,572,128.35,598.566,280.826,112.698,69.061,343.686,36.618,55.923,118.059,12990.566,11.432,3.577,22.71,819,6
88,BXD32,CD,F,742,79.454,1017.479,431.664,688.192,329.923,163.84,28.665,58.425,511.642,10765.003,27.085,8.132,22.3,784,4
87,BXD32,CD,F,742,1253.596,4848.277,5529.692,562.037,94.104,85.324,184.58,86.381,517.636,12427.706,24.307,45.031,24.95,784,4
2035,BXD32,CD,F,200,160.556,531.218,600.427,80.035,NA,NA,39.019,NA,51.645,6274.406,3.056,4.016,21.1,784,6
2034,BXD32,CD,F,200,781.776,1464.913,2246.414,52.213,NA,141.778,28.788,NA,134.275,10373.624,9.95,17.931,25.5,784,6
1801,BXD32,CD,F,517,608.683,1219.022,2354.282,254.2,6.695,NA,24.298,37.798,106.17,10060.46,6.705,NA,NA,784,7
1802,BXD32,CD,F,517,593.964,1157.241,2538.145,114.994,NA,NA,15.905,NA,56.944,4978.39,4.79,NA,NA,784,7
275,BXD34,CD,F,361,146.624,904.089,5530.383,539.8,34.353,161.756,22.468,38.078,144.225,16560.279,10.847,6.64,30.6,835,3
273,BXD34,CD,F,361,83.31,487.036,1799.324,225.182,89.348,155.367,14.063,16.535,59.242,10671.829,6.48,4.313,25.3,835,3
1054,BXD34,CD,F,201,1513.13,904.089,8309.152,16.204,12.421,185.862,0.838,18.531,NA,9478.458,9.421,6.705,33.54,835,3
765,BXD34,CD,F,554,368.689,866.818,1478.108,34.876,71.949,191.58,23.361,27.417,47.968,87997.805,5.466,4.119,25.92,835,3
288,BXD34,CD,F,748,425.289,2694.379,1356.598,91.682,2599.082,7994.811,13.662,18.316,112.223,16199.427,91.404,14.356,25.97,835,4
286,BXD34,CD,F,748,652.822,2165.061,2349.408,334.891,360.738,47.373,70.359,36.855,197.488,20872.087,22.38,12.783,29.05,835,4
766,BXD34,CD,F,554,557.502,1923.222,3675.42,135.073,45.776,338.505,40.981,14.657,143.496,22009.655,14.089,12.878,25.34,835,4
1048,BXD34,CD,F,209,371.802,1056.098,7507.683,70.744,NA,117.991,12.256,NA,59.812,7577.698,5.464,10.493,35.79,835,5
675,BXD39,CD,F,730,789.939,1529.479,672.075,160.647,233.026,194.501,30.283,37.91,70.1,15600.149,48.23,5.947,20.2,687,4
673,BXD39,CD,F,730,476.541,1178.158,228.997,193.607,133.962,209.209,26.174,53.492,94.514,20146.194,19.94,6.023,21.3,687,4
1322,BXD39,CD,F,550,885.88,658.443,257.103,280.719,233.237,77.223,86.787,120.335,131.56,23287.301,34.125,4.077,18.09,687,1
1322,BXD39,CD,F,550,885.88,658.443,257.103,280.719,233.237,77.223,86.787,120.335,131.56,23287.301,34.125,4.077,18.09,687,1
1483,BXD40,CD,F,284,81.265,775.895,290.844,11.554,NA,112.651,NA,NA,NA,2831.744,8.939,5.195,21.12,645,2
