Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide 2,logCpeptide,GIP (total),IL-6,Insulin,logInsulin,Leptin,logLeptin,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR
1714,BXD65b,CD,F,174,2247.005,11.13,910.498,46.21,6013.063,12.55,29094.878,14.83,388.637,88.697,357.865,313.55,76801.604,30.759,71.87
1691,BXD40,CD,F,180,1321.917,10.37,45.996,15.903,1634.496,10.67,3948.733,11.95,136.365,39.726,75.717,107.948,29785.586,22.095,14.12
1688,BXD40,CD,F,180,1370.246,10.42,154.703,37.127,1555.186,10.6,32137.174,14.97,268.803,16.206,75.717,128.406,60201.065,22.487,13.66
1680,C57BL/6J,CD,F,182,80.855,6.34,59.007,106.646,928.38,9.86,1022.61,10,131.109,19.949,85.261,176.542,60863.464,28.389,8.29
1363,BXD102,CD,F,183,766.714,9.58,141.013,88.531,601.591,9.23,1154.739,10.17,96.864,116.925,64.036,95.545,42524.127,24.647,4.42
1364,BXD102,CD,F,183,425.389,8.73,99.842,46.21,696.738,9.44,1154.739,10.17,77.223,154.376,94.659,170.485,51502.088,19.941,7.37
1411,BXD65b,CD,F,188,199.01,7.64,566.523,1439.037,15927.434,13.96,5124.227,12.32,370.092,367.812,413.147,662.972,51351.892,63.114,NA
1702,BXD90,CD,F,188,286.401,8.16,73.178,227.216,1241.832,10.28,84.188,6.4,77.223,9.682,169.612,3762.005,29652.02,29.574,10.28
1791,BXD24,CD,F,205,393.544,8.62,40.049,88.531,1304.538,10.35,497.811,8.96,84.028,5.978,90.916,55.325,34131.145,35.91,8.74
1792,BXD24,CD,F,205,576.571,9.17,1041.031,94.571,1848.852,10.85,1170.481,10.19,84.028,109.74,43.844,116.32,60492.691,19.746,14.11
2578,BXD49,CD,F,245,1262.105,10.3,734.67,40.156,2346.734,11.2,35799.204,15.13,120.259,193.39,482.334,704.466,106572.503,44.269,NA
1576,BXD13,CD,F,362,106.109,6.73,52.982,2452.818,207.973,7.7,142.439,7.15,201.757,19.949,145.265,178.957,19378.586,103.451,0.64
1333,BXD13,CD,F,362,325.2,8.35,67.086,179.021,985.094,9.94,300.277,8.23,54.568,95.864,183.305,2847.116,29268.947,117.542,9.79
1412,BXD65b,CD,F,370,841.906,9.72,161.571,58.311,2033.653,10.99,6647.674,12.7,114.643,50.142,43.844,46.696,21370.108,10.815,16.25
1413,BXD65b,CD,F,370,1536.449,10.59,254.699,46.21,3792.909,11.89,23583.558,14.53,136.365,163.517,64.036,135.958,46160.838,21.703,32.5
1504,BXD44,CD,F,379,519.237,9.02,356.709,106.646,1699.99,10.73,11616.271,13.5,70.097,47.298,94.659,1443.516,51892.731,37.101,17.38
1505,BXD44,CD,F,379,594.034,9.21,39.555,82.49,1156.889,10.18,7493.882,12.87,604.798,22.294,87.152,129.669,13683.68,33.332,8.91
1524,BXD98,CD,F,384,897.708,9.81,23.457,52.261,3058.05,11.58,304.41,8.25,90.562,12.007,129.314,304.61,81450.64,16.235,27.08
1769,BXD98,CD,F,384,89.671,6.49,45.996,58.311,730.142,9.51,103.388,6.69,77.223,17.608,116.717,159.504,21677.539,13.131,5.94
1595,BXD65b,CD,F,415,1203.418,10.23,40.049,64.358,3798.987,11.89,33754.477,15.04,96.864,9.682,102.084,149.035,70118.02,27.6,29.27
1596,BXD65b,CD,F,415,557.65,9.12,192.379,52.261,1803.787,10.82,1735.812,10.76,10.285,67.243,71.853,174.123,47271.534,15.846,11.56
2078,BXD89,CD,F,444,343.92,8.43,74.196,9.825,1106.541,10.11,8157.951,12.99,58.643,33.116,1.958,52.471,9097.922,20.528,NA
2251,BXD98,CD,F,531,128.625,7.01,92.625,154.909,601.591,9.23,126.726,6.99,84.028,16.206,43.844,52.471,16194.095,25.631,NA
2252,BXD98,CD,F,531,257.568,8.01,89.539,70.404,913.072,9.83,146.385,7.19,161.257,33.116,43.844,19.066,24944.153,27.6,NA
1812,DBA/2J,CD,F,532,614.554,9.26,45.996,64.358,1686.932,10.72,931.411,9.86,70.097,58.21,60.079,66.549,14493.496,24.844,NA
1813,DBA/2J,CD,F,532,825.17,9.69,165.804,40.156,1896.926,10.89,8218.956,13,102.963,92.997,52.05,325.229,21404.253,132.291,NA
1565,BXD95,CD,F,536,192.152,7.59,73.178,166.967,679.817,9.41,404.579,8.66,45.902,15.271,52.05,301.809,50265.314,36.902,3.43
1742,BXD95,CD,F,536,116.382,6.86,22.496,34.098,235.724,7.88,320.977,8.33,NA,2.306,125.733,526.315,33452.163,22.095,1.78
1184,BXD100,CD,F,537,1679.54,10.71,223.432,130.785,2960.647,11.53,14081.743,13.78,90.562,22.763,179.895,334.088,28758.663,38.691,27.5
1103,C57BL/6J,CD,F,537,353.133,8.46,263.358,329.526,1598.248,10.64,14626.773,13.84,141.519,49.194,83.365,155.82,32260.153,21.311,11.28
1079,BXD68,CD,F,545,383.22,8.58,33.166,100.609,570.111,9.16,5820.627,12.51,276.117,32.173,145.265,60.973,43379.549,27.009,2.91
1080,BXD68,CD,F,545,405.226,8.66,182.258,100.609,1135.388,10.15,9547.422,13.22,125.744,35.947,26.7,51.036,23550.55,8.511,9.65
1006,BXD9,CD,F,548,1082.243,10.08,429.623,106.646,5402.776,12.4,279.665,8.13,133.75,27.933,90.916,107.948,48892.726,225.494,4.8
1206,BXD62,CD,F,548,403.045,8.65,138.387,112.683,654.137,9.35,639.697,9.32,108.883,71.052,56.084,125.242,19712.497,18.964,22.56
1199,BXD64,CD,F,550,66.596,6.06,178.536,644.932,222.062,7.79,99.529,6.64,151.552,23.702,127.526,583.966,32417.766,5834.444,4.08
