IDFemaleAgingColony,EarTagNumberCurrent,EarTagNumberOriginal,StrainNameCurrent,DietCode,Sex,AgeAtDeath,Weight00Baseline,Weight01,Weight02,Weight03,Weight04,Weight05,Weight06,Weight07,Weight08,Weight09,Weight10,Weight11,Weight12,Weight13,Weight14,EntryAgeInColony,AgeAtWeight01,AgeAtWeight02,AgeAtWeight03,AgeAtWeight04,AgeAtWeight05,AgeAtWeight06,AgeAtWeight07,AgeAtWeight08,AgeAtWeight09,AgeAtWeight10,AgeAtWeight11,AgeAtWeight12,AgeAtWeight13,AgeAtWeight14,logEntryAgeInColony,logAgeAtWeight01,logAgeAtWeight02,logAgeAtWeight03,logAgeAtWeight04,logAgeAtWeight05,logAgeAtWeight06,logAgeAtWeight07,logAgeAtWeight08,logAgeAtWeight09,logAgeAtWeight10,logAgeAtWeight11,logAgeAtWeight12,logAgeAtWeight13,logAgeAtWeight14,Slope500days,SlopeOverall,Slope300days
FAC2132,2569,2569,BXD18,CD,F,828,10.10,25.30,31.60,31.10,26.40,29.30,25.80,25.50,26.00,24.70,23.80,22.70,,,,26,101,228,303,367,417,478,556,633,695,759,824,,,,4.70,6.66,7.83,8.24,8.52,8.70,8.90,9.12,9.31,9.44,9.57,9.69,NA,NA,NA,4.09,2.12,5.06
FAC2130,2567,2567,BXD18,CD,F,528,10.70,26.40,29.80,37.20,31.60,28.60,31.40,30.90,,,,,,,,26,101,157,228,303,367,417,478,,,,,,,,4.70,6.66,7.29,7.83,8.24,8.52,8.70,8.90,NA,NA,NA,NA,NA,NA,NA,5.11,4.68,6.84
FAC2131,2568,2568,BXD18,CD,F,434,11.60,30.60,26.40,32.70,29.20,28.40,,,,,,,,,,26,101,157,228,303,367,,,,,,,,,,4.70,6.66,7.29,7.83,8.24,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.53,5.35
FAC2106,2544,2544,BXD73,CD,F,825,12.20,16.00,23.00,25.20,25.80,26.90,24.80,18.90,23.90,23.20,15.20,16.50,,,,27,39,116,172,243,318,382,432,493,571,648,774,,,,4.75,5.29,6.86,7.43,7.92,8.31,8.58,8.75,8.95,9.16,9.34,9.60,NA,NA,NA,3.61,1.10,4.35
FAC2105,2543,2543,BXD73,CD,F,573,12.40,17.80,23.40,26.10,27.50,28.50,29.50,27.80,29.30,25.70,,,,,,27,39,116,172,243,318,382,432,493,571,,,,,,4.75,5.29,6.86,7.43,7.92,8.31,8.58,8.75,8.95,9.16,NA,NA,NA,NA,NA,4.19,3.37,4.50
FAC2175,2611,2611,BXD89,CD,F,755,12.30,17.30,20.00,22.00,23.70,23.50,23.70,23.50,24.80,24.80,23.10,,,,,27,56,131,194,244,305,460,522,586,651,698,,,,,4.75,5.81,7.03,7.60,7.93,8.25,8.85,9.03,9.19,9.35,9.45,NA,NA,NA,NA,2.89,2.35,3.35
FAC2176,2612,2612,BXD89,CD,F,655,11.00,17.00,20.70,20.70,21.30,22.50,22.50,23.40,24.70,22.90,18.90,,,,,27,56,131,194,244,305,383,460,522,586,651,,,,,4.75,5.81,7.03,7.60,7.93,8.25,8.58,8.85,9.03,9.19,9.35,NA,NA,NA,NA,2.85,2.19,3.14
FAC1152,1761,1348,BXD45,CD,F,840,14.80,21.20,22.10,22.20,22.00,22.90,22.30,21.70,21.60,21.10,20.80,19.00,18.60,,,29,91,145,208,279,326,389,454,510,573,635,719,785,,,4.86,6.51,7.18,7.70,8.12,8.35,8.60,8.83,8.99,9.16,9.31,9.49,9.62,NA,NA,1.94,0.87,2.30
FAC2104,2542,2542,BXD90,CD,F,1017,12.90,14.20,21.50,23.20,27.80,25.90,24.70,26.10,25.60,24.50,21.90,22.40,19.70,20.20,18.50,32,44,121,177,249,324,387,437,498,576,653,715,779,843,891,5.00,5.46,6.92,7.47,7.96,8.34,8.60,8.77,8.96,9.17,9.35,9.48,9.61,9.72,9.80,3.93,1.48,4.85
FAC2123,2560,2560,BXD19,CD,F,842,13.90,15.20,21.50,23.50,24.40,25.70,25.30,26.20,24.30,24.10,22.80,24.80,23.60,27.70,,33,38,115,171,242,317,381,431,492,570,647,709,773,838,,5.04,5.25,6.85,7.42,7.92,8.31,8.57,8.75,8.94,9.15,9.34,9.47,9.59,9.71,NA,3.38,2.25,3.73
